,ID,Date,Primary Type,Year,Time Period,DateTime,Hour
1429423,23019,10/04/2016 01:05:00 AM,HOMICIDE,2016,AM,2016-10-04 01:05:00,1
1429521,10779887,12/10/2016 01:15:00 AM,SEX OFFENSE,2016,AM,2016-12-10 01:15:00,1
1430498,23013,12/11/2016 12:32:00 PM,HOMICIDE,2016,PM,2016-12-11 12:32:00,12
1430626,10784694,11/27/2016 12:00:00 PM,SEX OFFENSE,2016,PM,2016-11-27 12:00:00,12
1430646,10784901,12/01/2016 09:00:00 AM,SEX OFFENSE,2016,AM,2016-12-01 09:00:00,9
1431264,23014,12/12/2016 02:22:00 AM,HOMICIDE,2016,AM,2016-12-12 02:22:00,2
1431265,23015,12/12/2016 12:44:00 PM,HOMICIDE,2016,PM,2016-12-12 12:44:00,12
1431266,23016,12/12/2016 12:20:00 PM,HOMICIDE,2016,PM,2016-12-12 12:20:00,12
1431783,10787693,06/09/2016 07:00:00 PM,SEX OFFENSE,2016,PM,2016-06-09 19:00:00,19
1432397,10789652,12/01/2016 12:01:00 AM,SEX OFFENSE,2016,AM,2016-12-01 00:01:00,0
1433034,23018,12/15/2016 02:15:00 AM,HOMICIDE,2016,AM,2016-12-15 02:15:00,2
1433138,10785493,12/16/2016 09:41:00 AM,SEX OFFENSE,2016,AM,2016-12-16 09:41:00,9
1433584,10788307,12/16/2016 10:00:00 AM,SEX OFFENSE,2016,AM,2016-12-16 10:00:00,10
1433630,23020,12/16/2016 01:28:00 AM,HOMICIDE,2016,AM,2016-12-16 01:28:00,1
1433631,23021,12/16/2016 05:35:00 PM,HOMICIDE,2016,PM,2016-12-16 17:35:00,17
1433632,23022,12/16/2016 04:06:00 PM,HOMICIDE,2016,PM,2016-12-16 16:06:00,16
1433633,23023,12/16/2016 08:51:00 PM,HOMICIDE,2016,PM,2016-12-16 20:51:00,20
1433634,23024,12/16/2016 09:55:00 AM,HOMICIDE,2016,AM,2016-12-16 09:55:00,9
1433635,23025,12/16/2016 10:35:00 PM,HOMICIDE,2016,PM,2016-12-16 22:35:00,22
1434237,23026,12/17/2016 12:40:00 PM,HOMICIDE,2016,PM,2016-12-17 12:40:00,12
1434238,23027,12/17/2016 01:25:00 PM,HOMICIDE,2016,PM,2016-12-17 13:25:00,13
1434239,23028,12/17/2016 01:25:00 PM,HOMICIDE,2016,PM,2016-12-17 13:25:00,13
1434240,23029,12/17/2016 01:25:00 PM,HOMICIDE,2016,PM,2016-12-17 13:25:00,13
1434241,23033,09/23/2016 12:01:00 PM,HOMICIDE,2016,PM,2016-09-23 12:01:00,12
1434703,23030,12/18/2016 05:58:00 AM,HOMICIDE,2016,AM,2016-12-18 05:58:00,5
1434779,10790220,12/15/2016 04:00:00 PM,SEX OFFENSE,2016,PM,2016-12-15 16:00:00,16
1434819,10790465,12/14/2016 08:30:00 PM,SEX OFFENSE,2016,PM,2016-12-14 20:30:00,20
1435433,10788892,12/19/2016 11:00:00 AM,SEX OFFENSE,2016,AM,2016-12-19 11:00:00,11
